,Service,Type,Rating,Hires,Price,Zip Code
0,ReScope Drain Aid,190,5,207,,84111
1,Mission Plumbing,190,4.5,225,,84111
2,Salt City Plumbing,190,5,242,,84111
3,Neighborhood plumbing,190,4.5,8,,84111
4,Keemer Plumbing LLC,190,5,30,,84111
5,Mr. Rooter of Salt Lake City,190,5,7,,84111
6,True Trenchless,190,5,25,49/service,84111
7,"Abra Leak Locate, LLC",190,5,,,84111
8,Allstar Service and Repair,190,5,,,84111
9,Meade plumbing llc,190,5,74,,84111
10,Major League Services LLC,190,5,133,,84111
11,Grade Solutions,190,5,9,,84111
12,Northridge Plumbing and Heating,190,5,132,,84111
13,Zoom Drain,190,5,,,84111
14,Evergreen Plumbing,190,5,42,,84111
15,Top flush plumbing,190,,,,84111
