,Service,Type,Rating,Hires,Price,Zip Code
0,Attorney T. Morton,334,5,,200/hour,66603
1,E- Mediation,334,5,34,100/hour,66603
2,Mediate Right,334,5,8,95/hour,66603
3,Maxim Mediation,334,4.5,21,125/hour,66603
4,Virtual Mediator,334,5,,100/hour,66603
5,Jay Lazrus,334,5,39,200/hour,66603
6,Barber Dispute Resolution,334,5,15,225/hour,66603
7,"Mimi Zemmelman, PhD",334,5,13,175/hour,66603
8,Tranquility Assist,334,5,8,50/hour,66603
9,Dr. Bobby K. Huen,334,5,6,250/hour,66603
10,Law Office of Thomas J. Callahan,334,5,21,275/hour,66603
11,ARH Mediations,334,,,,66603
12,"A Taxlady Network, LLC",334,5,13,40/hour,66603
13,G & O Mediation,334,,,200/hour,66603
14,The Art of Living Inc,334,5,5,195/hour,66603
15,Certified Online Mediation,334,5,,200/hour,66603
16,Brunouss Notary Public,334,,,,66603
17,"Havens & Associates, LLC",334,5,,295/hour,66603
18,"Hein, Esq.",334,5,3,395/hour,66603
19,"The Law Firm of Gerald Winters, P.C.",334,,,,66603
