,Service,Type,Rating,Hires,Price,Zip Code
0,Digital Royalty Electronics,336,5,30,64/hour,04330
1,Digital Dojo IT Solutions,336,5,12,55/hour,04330
2,"B & L Computer Solutions, LLC",336,5,45,80/hour,04330
3,Just-in-Time Solutions,336,5,167,70/hour,04330
4,ClifCraft,336,5,7,150/hour,04330
5,Wireless Rxx,336,5,22,120/hour,04330
6,SURYA SHARMA,336,5,44,110/hour,04330
7,A Tech Solution,336,5,25,120/hour,04330
8,Haelen Home Services,336,5,,100/hour,04330
9,Aura Telecom,336,4.5,35,65/hour,04330
10,ITologist,336,5,2,80/hour,04330
11,Trusted Technology Services LLC,336,5,2,55/hour,04330
12,Fly By Mobile Phone Repair,336,5,,65/hour,04330
13,Computer solutions now,336,5,2,70/hour,04330
14,reboot IT quick LLC - Arizona,336,5,22,89/hour,04330
15,"GISTEK.US Networks, Inc",336,5,9,85/hour,04330
16,Seaport Tech Support,336,5,,80/hour,04330
17,Terrell Computer Consultant LLC,336,5,88,125/hour,04330
18,AleCo Computing,336,5,6,100/hour,04330
19,Bytagig,336,5,13,125/hour,04330
20,IT USA SERVICES INC,336,5,5,75/hour,04330
21,OC Tech Insight,336,5,6,75/hour,04330
22,Tomlin Associates,336,5,11,95/hour,04330
23,Miracle Techs,336,4.5,23,100/hour,04330
24,Stephen Kalbach Photography/Finger Lakes Drone LLC,336,5,25,,04330
25,ProPCiT,336,5,,100/hour,04330
26,FIFSTAR ICT (acquired by TrinsicTech.com),336,5,9,185/hour,04330
27,Sameer,336,5,12,100/hour,04330
28,Level5 Management,336,5,,71/hour,04330
29,"MyHomeNetAV, LLC",336,5,32,70/hour,04330
