,Service,Type,Rating,Hires,Price,Zip Code
0,Tax Genius,22,5,114,249,23219
1,"Mosaic Consulting & Tax, PC",22,5,134,250,23219
2,Who's Your Tax Man? LLC,22,4.5,211,225,23219
3,"Steve Shapiro, EA",22,4.5,56,179,23219
4,ND Accounting and Tax Services LLC,22,5,13,200,23219
5,Michael Verderosa CPA P.C.,22,5,33,200,23219
6,KW Financial Services LLC,22,5,33,295,23219
7,Tax Max,22,5,14,160,23219
8,"Benedict George, LL.B, CPA",22,5,18,125,23219
9,Elevated Bookkeeping - Remote Tax and Bookkeeping,22,5,2,169,23219
10,Synde Murray,22,5,,175,23219
11,David Beck CPA,22,4.5,382,350,23219
12,DH Financial,22,5,8,150,23219
13,Nexus Square,22,5,24,225,23219
14,Bourque CPAs + Advisors,22,5,2,400,23219
15,Thomas Hawbaker CPA PLLC,22,5,3,,23219
16,Hunter Tax and Bookkeeping,22,5,4,100,23219
17,"Sabu Syriac CPA,MBA",22,5,85,350,23219
18,Daleyn Accountancy,22,5,45,370,23219
19,GALACEY ACCOUNTING & BOOKKEEPING,22,5,30,185,23219
20,Ambassadors Financial Services,22,5,2,125,23219
21,"Sunrise Tax and Accounting, LLC",22,5,106,150,23219
22,Top's Noble Tax Services,22,4.5,46,199,23219
23,K.A.A. Data Accounting and Tax Services,22,5,,129,23219
24,"Robin L Jordan, CPA, LLC",22,4.5,7,,23219
25,"Michael A. Brunson, CFO",22,5,,175,23219
26,Dyrect Professional Services LLC,22,5,7,225,23219
27,Tax and Accounting Services Co.,22,5,24,299,23219
28,Larry the Tax Man,22,4.5,155,500,23219
29,Williams Business Solutions,22,5,71,225,23219
