,Service,Type,Rating,Hires,Price,Zip Code
0,Clairvoyant Lady,274,5,135,123/hour,98105
1,Psychic Connection Co,274,5,47,55/hour,98105
2,Bloomsburg psychic shop,274,5,,25/hour,98105
3,Five Star Virgo,274,5,59,250/hour,98105
4,Noetic Astrologer/Pro Intuitive- 45+Yrs,274,5,49,149/hour,98105
5,VEDIC ASTROLOGY by Your-Destiny Nivedita Shree,274,5,6,245/hour,98105
6,Spiritual advisor,274,5,3,120/hour,98105
7,Astrologer Eric Rosen,274,5,8,149/hour,98105
8,Spiritual readings,274,5,,,98105
9,Intuitive Chart Readings & Reiki w/Serafina Abrams,274,5,7,149/hour,98105
10,Carolina Mystic,274,5,,100/hour,98105
11,Thriving Holistic,274,5,,200/hour,98105
12,Psychic Readings By Amanda,274,4.5,87,45/hour,98105
13,Spiral Path,274,5,5,85/hour,98105
14,Readings by Eustace,274,5,4,88/hour,98105
15,Ascension with Cosmic Cam,274,5,17,75/hour,98105
16,Tara's Tangles,274,5,5,60/hour,98105
17,"TheModernDaoist | Coaching, Astrology & Meditation",274,5,44,248/hour,98105
18,Spiritual Insight,274,5,,120/hour,98105
19,Masters of the Cosmos,274,5,,,98105
20,Psychic Answers,274,4.5,42,30/hour,98105
21,"The Beverly, MA Psychic",274,4.5,3,,98105
22,Cool as Astrology & Tarot,274,5,16,99/hour,98105
23,Holistic,274,5,,50/hour,98105
24,The High Priestess ✨,274,5,,80/hour,98105
25,The Energence • Energy Readings + Coaching,274,5,,100/hour,98105
26,Gay 4 Tarot,274,5,7,50/hour,98105
27,Virgo City,274,5,,100/hour,98105
28,Psychic center,274,5,17,,98105
29,Success in the Stars Astrology,274,5,8,108/hour,98105
